invoice_id,carrier,invoice_date,service_month,shipment_ref,destination_city,destination_state,destination_zip,weight_lbs,base_charge,fuel_surcharge,accessorial_fees,accessorial_detail,adjustments,total_charge
HF-INV-2025-3046,Heartland Freight,2025-11-08,October 2025,HFL-1873851,St. Louis,MO,63101,2126.5,500.99,0.0,0.0,,0.0,500.99
HF-INV-2025-3047,Heartland Freight,2025-11-08,October 2025,HFL-1675419,Milwaukee,WI,53201,697.7,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3048,Heartland Freight,2025-11-08,October 2025,HFL-3117636,Duluth,MN,55801,2345.8,805.72,0.0,135.0,Inside Delivery,0.0,940.72
HF-INV-2025-3049,Heartland Freight,2025-11-08,October 2025,HFL-5299055,Kansas City,KS,66101,1756.3,330.55,0.0,0.0,,0.0,330.55
HF-INV-2025-3050,Heartland Freight,2025-11-08,October 2025,HFL-2921542,Milwaukee,WI,53201,593.2,630.12,0.0,0.0,,0.0,630.12
HF-INV-2025-3051,Heartland Freight,2025-11-08,October 2025,HFL-7296605,Rockford,IL,61101,2364.6,598.61,0.0,135.0,Inside Delivery,0.0,733.61
HF-INV-2025-3052,Heartland Freight,2025-11-08,October 2025,HFL-5074336,Madison,WI,53701,2327.3,598.61,0.0,0.0,,0.0,598.61
HF-INV-2025-3053,Heartland Freight,2025-11-08,October 2025,HFL-3030966,Kansas City,MO,64101,1787.5,314.03,0.0,0.0,,0.0,314.03
HF-INV-2025-3054,Heartland Freight,2025-11-08,October 2025,HFL-9488613,Kansas City,MO,64101,998.6,314.03,0.0,0.0,,0.0,314.03
HF-INV-2025-3055,Heartland Freight,2025-11-08,October 2025,HFL-8273315,Norfolk,NE,68701,229.0,765.48,0.0,0.0,,0.0,765.48
CE-INV-2025-5001,Coastal Express,2025-11-08,October 2025,CEX-2453962,Los Angeles,CA,90001,38.4,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5002,Coastal Express,2025-11-08,October 2025,CEX-7358385,Bakersfield,CA,93301,16.2,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5003,Coastal Express,2025-11-08,October 2025,CEX-5334434,Long Beach,CA,90802,18.6,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5004,Coastal Express,2025-11-08,October 2025,CEX-9667566,Sacramento,CA,95814,19.2,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5005,Coastal Express,2025-11-08,October 2025,CEX-5031966,Fresno,CA,93721,41.9,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5006,Coastal Express,2025-11-08,October 2025,CEX-4717770,Los Angeles,CA,90001,33.1,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5007,Coastal Express,2025-11-08,October 2025,CEX-9907391,Sacramento,CA,95814,20.9,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5008,Coastal Express,2025-11-08,October 2025,CEX-5545223,Sacramento,CA,95814,19.5,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5009,Coastal Express,2025-11-08,October 2025,CEX-9990305,Sacramento,CA,95814,17.1,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5010,Coastal Express,2025-11-08,October 2025,CEX-9801946,San Diego,CA,92101,43.8,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5011,Coastal Express,2025-11-08,October 2025,CEX-4010529,Seattle,WA,98101,30.0,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5012,Coastal Express,2025-11-08,October 2025,CEX-5901239,Los Angeles,CA,90001,17.4,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5013,Coastal Express,2025-11-08,October 2025,CEX-1205779,Tacoma,WA,98401,32.2,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5014,Coastal Express,2025-11-08,October 2025,CEX-5235884,Los Angeles,CA,90001,28.1,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5015,Coastal Express,2025-11-08,October 2025,CEX-1899411,Fresno,CA,93721,42.7,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5016,Coastal Express,2025-11-08,October 2025,CEX-2987287,Portland,OR,97201,11.4,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5017,Coastal Express,2025-11-08,October 2025,CEX-9767312,Bakersfield,CA,93301,27.3,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5018,Coastal Express,2025-11-08,October 2025,CEX-6123430,San Diego,CA,92101,20.9,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5019,Coastal Express,2025-11-08,October 2025,CEX-4486102,Portland,OR,97201,27.0,24.09,2.29,0.0,,0.0,26.38
CE-INV-2025-5020,Coastal Express,2025-11-08,October 2025,CEX-2259379,Los Angeles,CA,90001,29.7,24.09,2.29,12.5,Residential,0.0,38.88
CE-INV-2025-5021,Coastal Express,2025-11-08,October 2025,CEX-4883526,Fresno,CA,93721,1064.6,503.83,47.86,0.0,,0.0,551.69
CE-INV-2025-5022,Coastal Express,2025-11-08,October 2025,CEX-5438490,Portland,OR,97201,1276.6,790.91,75.14,0.0,,0.0,866.05
CE-INV-2025-5023,Coastal Express,2025-11-08,October 2025,CEX-4771676,Oakland,CA,94612,2168.7,1026.37,97.51,0.0,,0.0,1123.88
CE-INV-2025-5024,Coastal Express,2025-11-08,October 2025,CEX-6160869,Portland,OR,97201,1964.9,1217.34,115.65,90.0,Liftgate,0.0,1422.99
CE-INV-2025-5025,Coastal Express,2025-11-08,October 2025,CEX-6101803,Tacoma,WA,98401,1861.8,1153.47,109.58,0.0,,0.0,1263.05
CE-INV-2025-5026,Coastal Express,2025-11-08,October 2025,CEX-1668752,Fresno,CA,93721,2061.1,975.44,92.67,0.0,,0.0,1068.11
CE-INV-2025-5027,Coastal Express,2025-11-08,October 2025,CEX-1348050,San Francisco,CA,94102,2361.5,1117.61,106.17,0.0,,0.0,1223.78
CE-INV-2025-5028,Coastal Express,2025-11-08,October 2025,CEX-9706768,Los Angeles,CA,90001,2541.9,1049.87,99.74,0.0,,-66.24,1083.37
CE-INV-2025-5029,Coastal Express,2025-11-08,October 2025,CEX-9249789,San Diego,CA,92101,1972.7,814.78,77.4,0.0,,0.0,892.18
CE-INV-2025-5030,Coastal Express,2025-11-08,October 2025,CEX-3698193,Sacramento,CA,95814,2454.5,1161.62,110.35,0.0,,0.0,1271.97
CE-INV-2025-5031,Coastal Express,2025-11-08,October 2025,CEX-1615675,Long Beach,CA,90802,1386.0,572.46,54.38,0.0,,0.0,626.84
CE-INV-2025-5032,Coastal Express,2025-11-08,October 2025,CEX-1019311,Long Beach,CA,90802,1560.6,644.57,61.23,0.0,,0.0,705.8
CE-INV-2025-5033,Coastal Express,2025-11-08,October 2025,CEX-9363326,Oakland,CA,94612,1933.3,914.96,86.92,0.0,,0.0,1001.88
CE-INV-2025-5034,Coastal Express,2025-11-08,October 2025,CEX-5832327,San Diego,CA,92101,1906.4,787.39,74.8,0.0,,0.0,862.19
CE-INV-2025-5035,Coastal Express,2025-11-08,October 2025,CEX-5014745,San Diego,CA,92101,1574.0,650.11,61.76,0.0,,0.0,711.87
CE-INV-2025-5036,Coastal Express,2025-11-08,October 2025,CEX-2903561,Long Beach,CA,90802,1990.1,821.97,78.09,0.0,,0.0,900.06
CE-INV-2025-5037,Coastal Express,2025-11-08,October 2025,CEX-5896624,Tacoma,WA,98401,1550.0,960.29,91.23,0.0,,0.0,1051.52
CE-INV-2025-5038,Coastal Express,2025-11-08,October 2025,CEX-3426689,Tacoma,WA,98401,1647.0,1020.39,96.94,0.0,,0.0,1117.33
CE-INV-2025-5039,Coastal Express,2025-11-08,October 2025,CEX-5634662,Oakland,CA,94612,1502.2,710.93,67.54,0.0,,0.0,778.47
CE-INV-2025-5040,Coastal Express,2025-11-08,October 2025,CEX-1043037,San Diego,CA,92101,2176.5,898.96,85.4,0.0,,0.0,984.36
CE-INV-2025-5041,Coastal Express,2025-11-08,October 2025,CEX-8491822,Fresno,CA,93721,1269.1,600.61,57.06,0.0,,0.0,657.67
CE-INV-2025-5042,Coastal Express,2025-11-08,October 2025,CEX-6398528,Bakersfield,CA,93301,1705.6,807.19,76.68,0.0,,0.0,883.87
CE-INV-2025-5043,Coastal Express,2025-11-08,October 2025,CEX-7891662,Long Beach,CA,90802,2366.4,977.39,92.85,0.0,,0.0,1070.24
CE-INV-2025-5044,Coastal Express,2025-11-08,October 2025,CEX-3551903,Fresno,CA,93721,893.5,422.86,40.17,0.0,,0.0,463.03
CE-INV-2025-5045,Coastal Express,2025-11-08,October 2025,CEX-2683838,Bakersfield,CA,93301,1597.1,755.89,71.81,0.0,,0.0,827.7
PK-INV-2025-1036,Peak Logistics,2025-12-11,November 2025,PLG-5446344,Pueblo,CO,81001,118.3,218.54,30.60,0.0,,-335.03,-85.89
PK-INV-2025-1037,Peak Logistics,2025-12-11,November 2025,PLG-7375499,Pueblo,CO,81001,1830.3,322.77,45.19,0.0,,0.0,367.96
PK-INV-2025-1038,Peak Logistics,2025-12-11,November 2025,PLG-5821419,Great Falls,MT,59401,1690.0,2083.32,291.66,75.0,Liftgate,0.0,2449.98
PK-INV-2025-1039,Peak Logistics,2025-12-11,November 2025,PLG-2686231,Great Falls,MT,59401,500.7,2083.32,291.66,0.0,,0.0,2374.98
PK-INV-2025-1040,Peak Logistics,2025-12-11,November 2025,PLG-7288789,Cheyenne,WY,82001,2123.2,391.23,54.77,0.0,,0.0,446.00
PK-INV-2025-1041,Peak Logistics,2025-12-11,November 2025,PLG-7418028,Fort Collins,CO,80521,1383.3,190.73,26.70,75.0,Liftgate,0.0,292.43
PK-INV-2025-1042,Peak Logistics,2025-12-11,November 2025,PLG-1157662,Casper,WY,82601,1355.8,880.28,123.24,0.0,,-52.02,951.50
PK-INV-2025-1043,Peak Logistics,2025-12-11,November 2025,PLG-6797629,Idaho Falls,ID,83401,2959.6,1877.93,262.91,0.0,,0.0,2140.84
PK-INV-2025-1044,Peak Logistics,2025-12-11,November 2025,PLG-4342306,Billings,MT,59101,1122.3,1613.84,225.94,0.0,,0.0,1839.78
PK-INV-2025-1045,Peak Logistics,2025-12-11,November 2025,PLG-5953150,Billings,MT,59101,220.1,1092.71,152.98,0.0,,0.0,1245.69
PK-INV-2025-1046,Peak Logistics,2025-12-11,November 2025,PLG-1822825,Pueblo,CO,81001,309.6,218.54,30.60,0.0,,0.0,249.14
PK-INV-2025-1047,Peak Logistics,2025-12-11,November 2025,PLG-6910964,Great Falls,MT,59401,1837.7,2083.32,291.66,0.0,,0.0,2374.98
PK-INV-2025-1048,Peak Logistics,2025-12-11,November 2025,PLG-3294774,Fort Collins,CO,80521,1547.6,190.73,26.70,0.0,,0.0,217.43
PK-INV-2025-1049,Peak Logistics,2025-12-11,November 2025,PLG-2512187,Grand Junction,CO,81501,250.5,486.75,68.15,0.0,,0.0,554.90
PK-INV-2025-1050,Peak Logistics,2025-12-11,November 2025,PLG-7138070,Billings,MT,59101,747.7,1613.84,225.94,0.0,,0.0,1839.78
PK-INV-2025-1051,Peak Logistics,2025-12-11,November 2025,PLG-5951651,Cheyenne,WY,82001,910.1,293.43,41.08,0.0,,0.0,334.51
PK-INV-2025-1052,Peak Logistics,2025-12-11,November 2025,PLG-4785186,Pocatello,ID,83201,1172.8,1291.07,180.75,0.0,,0.0,1471.82
PK-INV-2025-1053,Peak Logistics,2025-12-11,November 2025,PLG-1233516,Idaho Falls,ID,83401,3193.0,1877.93,262.91,0.0,,0.0,2140.84
PK-INV-2025-1054,Peak Logistics,2025-12-11,November 2025,PLG-7232293,Colorado Springs,CO,80901,1535.0,205.4,28.76,0.0,,0.0,234.16
PK-INV-2025-1055,Peak Logistics,2025-12-11,November 2025,PLG-4713925,Fort Collins,CO,80521,1480.8,190.73,26.70,0.0,,0.0,217.43
PK-INV-2025-1056,Peak Logistics,2025-12-11,November 2025,PLG-6106390,Idaho Falls,ID,83401,2450.5,1877.93,262.91,150.0,Redelivery,0.0,2290.84
PK-INV-2025-1057,Peak Logistics,2025-12-11,November 2025,PLG-8031780,Salt Lake City,UT,84101,439.2,1043.04,146.03,0.0,,0.0,1189.07
PK-INV-2025-1058,Peak Logistics,2025-12-11,November 2025,PLG-5693260,Fort Collins,CO,80521,3067.3,254.3,35.60,0.0,,0.0,289.90
PK-INV-2025-1059,Peak Logistics,2025-12-11,November 2025,PLG-7162857,Cheyenne,WY,82001,246.3,198.67,27.81,0.0,,0.0,226.48
PK-INV-2025-1060,Peak Logistics,2025-12-11,November 2025,PLG-8628891,Cheyenne,WY,82001,180.5,198.67,27.81,0.0,,0.0,226.48
PK-INV-2025-1061,Peak Logistics,2025-12-11,November 2025,PLG-5086407,Fort Collins,CO,80521,1355.9,190.73,26.70,0.0,,0.0,217.43
PK-INV-2025-1062,Peak Logistics,2025-12-11,November 2025,PLG-4909069,Great Falls,MT,59401,426.3,1410.58,197.48,0.0,,0.0,1608.06
PK-INV-2025-1063,Peak Logistics,2025-12-11,November 2025,PLG-3180906,Fort Collins,CO,80521,1379.2,190.73,26.70,0.0,,0.0,217.43
PK-INV-2025-1064,Peak Logistics,2025-12-11,November 2025,PLG-4991829,Fort Collins,CO,80521,429.9,129.14,18.08,0.0,,0.0,147.22
PK-INV-2025-1065,Peak Logistics,2025-12-11,November 2025,PLG-2066326,Colorado Springs,CO,80901,75.1,139.07,19.47,0.0,,0.0,158.54
PK-INV-2025-1066,Peak Logistics,2025-12-11,November 2025,PLG-1727544,Cheyenne,WY,82001,667.1,293.43,41.08,0.0,,0.0,334.51
PK-INV-2025-1067,Peak Logistics,2025-12-11,November 2025,PLG-7738019,Provo,UT,84601,329.5,973.5,136.29,0.0,,0.0,1109.79
PK-INV-2025-1068,Peak Logistics,2025-12-11,November 2025,PLG-2101965,Colorado Springs,CO,80901,1818.3,205.4,28.76,50.0,Appointment Delivery,0.0,284.16
PK-INV-2025-1069,Peak Logistics,2025-12-11,November 2025,PLG-9901266,Laramie,WY,82070,1312.9,381.45,53.40,0.0,,0.0,434.85
PK-INV-2025-1070,Peak Logistics,2025-12-11,November 2025,PLG-4607488,Laramie,WY,82070,661.2,381.45,53.40,0.0,,0.0,434.85
PK-INV-2025-1071,Peak Logistics,2025-12-11,November 2025,PLG-6243691,Fort Collins,CO,80521,1737.5,190.72,26.70,0.0,,0.0,217.42
HF-INV-2025-3056,Heartland Freight,2025-12-11,November 2025,HFL-3403361,St. Louis,MO,63101,2306.9,462.86,0.0,0.0,,0.0,462.86
HF-INV-2025-3057,Heartland Freight,2025-12-11,November 2025,HFL-2539438,Kansas City,KS,66101,367.9,305.39,0.0,0.0,,0.0,305.39
HF-INV-2025-3058,Heartland Freight,2025-12-11,November 2025,HFL-6228407,Duluth,MN,55801,1067.1,744.4,0.0,0.0,,0.0,744.4
HF-INV-2025-3059,Heartland Freight,2025-12-11,November 2025,HFL-1882629,St. Paul,MN,55101,980.1,582.16,0.0,0.0,,0.0,582.16
